,pv,load,pv_ev,pv_load,pv_grid,grid_ev,grid_load,ev_load,ev_grid ,y_buy,y_sell,y_ch,y_dis,avail,episode,soc
2020-09-10 20:00:00,0.0,1037.040278,<gurobi.Var pv_ev_1 (value 0.0)>,<gurobi.Var pv_load_1 (value 0.0)>,<gurobi.Var pv_grid_1 (value 0.0)>,<gurobi.Var grid_ev_1 (value 0.0)>,<gurobi.Var grid_load_1 (value 0.0)>,<gurobi.Var ev_load_1 (value 1037.040278)>,,,,<gurobi.Var y_ch_1 (value -0.0)>,<gurobi.Var y_dis_1 (value 1.0)>,1,1,0.4
2020-09-10 21:00:00,0.0,1092.4134080000001,"<gurobi.Var pv_ev[2020-09-10 21:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-10 21:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-10 21:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-10 21:00:00,0] (value 3700.0)>","<gurobi.Var grid_load[2020-09-10 21:00:00,0] (value 1092.4134080000001)>","<gurobi.Var ev_load[2020-09-10 21:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-10 21:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-10 21:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-10 21:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-10 21:00:00,0] (value 0.0)>",1,1,0.335184982625
2020-09-10 22:00:00,0.0,1080.702514,"<gurobi.Var pv_ev[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-10 22:00:00,0] (value 1080.702514)>",,"<gurobi.Var y_buy[2020-09-10 22:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-10 22:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-10 22:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-10 22:00:00,0] (value 1.0)>",1,1,0.335184982625
2020-09-10 23:00:00,0.0,920.5418993999999,"<gurobi.Var pv_ev[2020-09-10 23:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-10 23:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-10 23:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-10 23:00:00,0] (value 3700.0)>","<gurobi.Var grid_load[2020-09-10 23:00:00,0] (value 920.5418993999999)>","<gurobi.Var ev_load[2020-09-10 23:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-10 23:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-10 23:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-10 23:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-10 23:00:00,0] (value 0.0)>",1,1,0.2
2020-09-11 00:00:00,0.0,660.3026499,"<gurobi.Var pv_ev[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 00:00:00,0] (value 660.3026499)>",,"<gurobi.Var y_buy[2020-09-11 00:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 00:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 00:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 00:00:00,0] (value 1.0)>",1,1,0.43125
2020-09-11 01:00:00,0.0,831.0111421,"<gurobi.Var pv_ev[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 01:00:00,0] (value 831.0111421)>",,"<gurobi.Var y_buy[2020-09-11 01:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 01:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 01:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 01:00:00,0] (value 1.0)>",1,1,0.38998108438125
2020-09-11 02:00:00,0.0,1365.934449,"<gurobi.Var pv_ev[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 02:00:00,0] (value 1365.934449)>",,"<gurobi.Var y_buy[2020-09-11 02:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 02:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 02:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 02:00:00,0] (value 1.0)>",1,1,0.338042888
2020-09-11 03:00:00,0.0,907.2416667000001,"<gurobi.Var pv_ev[2020-09-11 03:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 03:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 03:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 03:00:00,0] (value 3700.0)>","<gurobi.Var grid_load[2020-09-11 03:00:00,0] (value 907.2416667000001)>","<gurobi.Var ev_load[2020-09-11 03:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 03:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 03:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 03:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 03:00:00,0] (value 0.0)>",1,1,0.2526719849375
2020-09-11 04:00:00,0.0,784.1243017,"<gurobi.Var pv_ev[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 04:00:00,0] (value 784.1243017)>",,"<gurobi.Var y_buy[2020-09-11 04:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 04:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 04:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 04:00:00,0] (value 1.0)>",1,1,0.32649530651875003
2020-09-11 05:00:00,123.0946942,701.1787709,"<gurobi.Var pv_ev[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 05:00:00,0] (value 123.0946942)>","<gurobi.Var pv_grid[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 05:00:00,0] (value 578.0840767)>",,"<gurobi.Var y_buy[2020-09-11 05:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 05:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 05:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 05:00:00,0] (value 1.0)>",1,1,0.2774875376625
2020-09-11 06:00:00,238.3826361,900.0991619999999,"<gurobi.Var pv_ev[2020-09-11 06:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 06:00:00,0] (value 238.3826361)>","<gurobi.Var pv_grid[2020-09-11 06:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 06:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 06:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 06:00:00,0] (value 661.7165258999999)>",,"<gurobi.Var y_buy[2020-09-11 06:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 06:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 06:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 06:00:00,0] (value 1.0)>",1,1,0.24135728286875
2020-09-11 07:00:00,3000.5420940000004,1236.959666,"<gurobi.Var pv_ev[2020-09-11 07:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 07:00:00,0] (value 1236.959666)>","<gurobi.Var pv_grid[2020-09-11 07:00:00,0] (value 1763.5824280000004)>","<gurobi.Var grid_ev[2020-09-11 07:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 07:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 07:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 07:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 07:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 07:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 07:00:00,0] (value -0.0)>",1,1,0.2
2020-09-11 08:00:00,5156.354494,1323.973501,"<gurobi.Var pv_ev[2020-09-11 08:00:00,0] (value 3700.0)>","<gurobi.Var pv_load[2020-09-11 08:00:00,0] (value 1323.973501)>","<gurobi.Var pv_grid[2020-09-11 08:00:00,0] (value 132.38099300000022)>","<gurobi.Var grid_ev[2020-09-11 08:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 08:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 08:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 08:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 08:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 08:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 08:00:00,0] (value 0.0)>",1,1,0.2
2020-09-11 09:00:00,8026.459612999999,1203.4164349999999,"<gurobi.Var pv_ev[2020-09-11 09:00:00,0] (value 3700.0)>","<gurobi.Var pv_load[2020-09-11 09:00:00,0] (value 1203.4164349999999)>","<gurobi.Var pv_grid[2020-09-11 09:00:00,0] (value 3123.043177999999)>","<gurobi.Var grid_ev[2020-09-11 09:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 09:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 09:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 09:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 09:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 09:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 09:00:00,0] (value -0.0)>",1,1,0.43125
2020-09-11 10:00:00,9530.092063,1072.589136,"<gurobi.Var pv_ev[2020-09-11 10:00:00,0] (value 1699.9999999999993)>","<gurobi.Var pv_load[2020-09-11 10:00:00,0] (value 1072.589136)>","<gurobi.Var pv_grid[2020-09-11 10:00:00,0] (value 6757.502927)>","<gurobi.Var grid_ev[2020-09-11 10:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 10:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 10:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 10:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 10:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 10:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 10:00:00,0] (value 0.0)>",1,1,0.6625000000000001
2020-09-11 11:00:00,9784.508711,1076.067039,"<gurobi.Var pv_ev[2020-09-11 11:00:00,0] (value 3700.0)>","<gurobi.Var pv_load[2020-09-11 11:00:00,0] (value 1076.0670389999996)>","<gurobi.Var pv_grid[2020-09-11 11:00:00,0] (value 5008.441672000001)>","<gurobi.Var grid_ev[2020-09-11 11:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 11:00:00,0] (value 4.547473508864641e-13)>","<gurobi.Var ev_load[2020-09-11 11:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 11:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 11:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 11:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 11:00:00,0] (value 0.0)>",1,1,0.76875
2020-09-11 12:00:00,7474.396629999999,1093.392458,"<gurobi.Var pv_ev[2020-09-11 12:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 12:00:00,0] (value 1093.392458)>","<gurobi.Var pv_grid[2020-09-11 12:00:00,0] (value 6381.004171999999)>","<gurobi.Var grid_ev[2020-09-11 12:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 12:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 12:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 12:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 12:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 12:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 12:00:00,0] (value 1.0)>",1,1,1.0
2020-09-11 13:00:00,9147.567409000001,1166.733612,"<gurobi.Var pv_ev[2020-09-11 13:00:00,0] (value 3700.0)>","<gurobi.Var pv_load[2020-09-11 13:00:00,0] (value 1166.733612)>","<gurobi.Var pv_grid[2020-09-11 13:00:00,0] (value 4280.833797000001)>","<gurobi.Var grid_ev[2020-09-11 13:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 13:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 13:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 13:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 13:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 13:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 13:00:00,0] (value 0.0)>",1,1,0.76875
2020-09-11 14:00:00,4730.256606,1276.840056,"<gurobi.Var pv_ev[2020-09-11 14:00:00,0] (value 3453.41655)>","<gurobi.Var pv_load[2020-09-11 14:00:00,0] (value 1276.840056)>","<gurobi.Var pv_grid[2020-09-11 14:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 14:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 14:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 14:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 14:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 14:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 14:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 14:00:00,0] (value -0.0)>",1,1,1.0
2020-09-11 15:00:00,1248.927095,1184.5572630000001,"<gurobi.Var pv_ev[2020-09-11 15:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 15:00:00,0] (value 1184.5572630000001)>","<gurobi.Var pv_grid[2020-09-11 15:00:00,0] (value 64.36983199999986)>","<gurobi.Var grid_ev[2020-09-11 15:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 15:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 15:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 15:00:00,0] (value 0.0)>","<gurobi.Var y_sell[2020-09-11 15:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-11 15:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 15:00:00,0] (value 0.0)>",0,1,1.0
2020-09-11 16:00:00,726.4170779,992.7559275,"<gurobi.Var pv_ev[2020-09-11 16:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 16:00:00,0] (value 726.4170779)>","<gurobi.Var pv_grid[2020-09-11 16:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 16:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 16:00:00,0] (value 266.3388496)>","<gurobi.Var ev_load[2020-09-11 16:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 16:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 16:00:00,0] (value 0.0)>","<gurobi.Var y_ch[2020-09-11 16:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 16:00:00,0] (value 0.0)>",0,1,1.0
2020-09-11 17:00:00,109.8302345,1329.72905,"<gurobi.Var pv_ev[2020-09-11 17:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 17:00:00,0] (value 109.83023449999996)>","<gurobi.Var pv_grid[2020-09-11 17:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 17:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 17:00:00,0] (value 1219.8988155)>","<gurobi.Var ev_load[2020-09-11 17:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 17:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 17:00:00,0] (value 0.0)>","<gurobi.Var y_ch[2020-09-11 17:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 17:00:00,0] (value 0.0)>",0,1,1.0
2020-09-11 18:00:00,2.478346459,901.0810056,"<gurobi.Var pv_ev[2020-09-11 18:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 18:00:00,0] (value 2.478346459000022)>","<gurobi.Var pv_grid[2020-09-11 18:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 18:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 18:00:00,0] (value 898.602659141)>","<gurobi.Var ev_load[2020-09-11 18:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 18:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 18:00:00,0] (value 0.0)>","<gurobi.Var y_ch[2020-09-11 18:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 18:00:00,0] (value 0.0)>",0,1,1.0
2020-09-11 19:00:00,0.0,868.4986034,"<gurobi.Var pv_ev[2020-09-11 19:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 19:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 19:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 19:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 19:00:00,0] (value 868.4986034)>","<gurobi.Var ev_load[2020-09-11 19:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 19:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 19:00:00,0] (value 0.0)>","<gurobi.Var y_ch[2020-09-11 19:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 19:00:00,0] (value 0.0)>",0,1,1.0
2020-09-11 20:00:00,0.0,1606.705307,"<gurobi.Var pv_ev[2020-09-11 20:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 20:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 20:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 20:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 20:00:00,0] (value 1606.705307)>","<gurobi.Var ev_load[2020-09-11 20:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 20:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 20:00:00,0] (value 0.0)>","<gurobi.Var y_ch[2020-09-11 20:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 20:00:00,0] (value 0.0)>",0,1,1.0
2020-09-11 21:00:00,0.0,1368.5788009999999,"<gurobi.Var pv_ev[2020-09-11 21:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 21:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 21:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 21:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 21:00:00,0] (value 1368.5788009999999)>","<gurobi.Var ev_load[2020-09-11 21:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 21:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 21:00:00,0] (value 0.0)>","<gurobi.Var y_ch[2020-09-11 21:00:00,0] (value 0.0)>","<gurobi.Var y_dis[2020-09-11 21:00:00,0] (value 0.0)>",0,1,1.0
